Fort Lauderdale,USA,Quebec,Canada,31910,14286,13773,10875,10659,
Fort Lauderdale,USA,Winnipeg,Canada,508,0,0,0,0,
Fort Lauderdale,USA,Toronto,Canada,92838,74322,118060,149849,193399,
Fortaleza,Brazil,Orlando,USA,206,1304,0,0,0,
Freeport,The Bahamas,Atlantic City,USA,179,0,0,0,0,
Freeport,The Bahamas,Boston,USA,2426,1023,4270,0,85,
Freeport,The Bahamas,Baltimore,USA,2778,18781,15199,20961,0,
Freeport,The Bahamas,Cleveland,USA,293,14595,10323,126,0,
Freeport,The Bahamas,Newark,USA,2461,12516,0,4975,141,
Freeport,The Bahamas,Fort Lauderdale,USA,18230,101701,64374,57479,39799,
Freeport,The Bahamas,Greensboro/High Point,USA,528,0,0,0,0,
Freeport,The Bahamas,Indianapolis,USA,2968,851,128,0,0,
Freeport,The Bahamas,New York,USA,4150,0,11450,3189,6005,
Freeport,The Bahamas,Chicago,USA,5426,7843,203,0,0,
Freeport,The Bahamas,Miami,USA,73180,35005,56362,45782,53526,
Freeport,The Bahamas,Norfolk,USA,296,0,0,0,0,
Freeport,The Bahamas,Pittsburgh,USA,255,505,4622,234,0,
Freeport,The Bahamas,Rochester,USA,111,60,0,0,0,
Freeport,The Bahamas,St. Louis,USA,4961,0,0,0,0,
Frankfurt,West Germany,Atlanta,USA,93930,0,0,0,0,
Frankfurt,West Germany,Boston,USA,90189,0,0,0,0,
Frankfurt,West Germany,Baltimore,USA,11167,0,0,0,0,
Frankfurt,West Germany,Cincinnati,USA,37292,0,0,0,0,
Frankfurt,West Germany,Dallas/Fort Worth,USA,110649,0,0,0,0,
Frankfurt,West Germany,Detroit,USA,53079,0,0,0,0,
Frankfurt,West Germany,Fort Lauderdale,USA,5884,0,0,0,0,
Frankfurt,West Germany,Honolulu,USA,1758,0,0,0,0,
Frankfurt,West Germany,Washington,USA,132287,0,0,0,0,
Frankfurt,West Germany,Houston,USA,16564,0,0,0,0,
Frankfurt,West Germany,New York,USA,345558,0,0,0,0,
Frankfurt,West Germany,Los Angeles,USA,79086,0,0,0,0,
Frankfurt,West Germany,Orlando,USA,25111,0,0,0,0,
Frankfurt,West Germany,Miami,USA,62824,0,0,0,0,
Frankfurt,West Germany,Milwaukee,USA,1948,0,0,0,0,
Frankfurt,West Germany,Minneapolis,USA,24982,0,0,0,0,
Frankfurt,West Germany,Chicago,USA,131602,0,0,0,0,
Frankfurt,West Germany,Philadelphia,USA,21509,0,0,0,0,
Frankfurt,West Germany,San Diego,USA,163,0,0,0,0,
Frankfurt,West Germany,San Francisco,USA,69966,0,0,0,0,
Frankfurt,West Germany,San Juan,USA,10240,0,0,0,0,
Frankfurt,West Germany,St. Louis,USA,5764,0,0,0,0,
Frankfurt,West Germany,Tampa,USA,6425,0,0,0,0,
Sioux Falls,USA,Winnipeg,Canada,1,6,14,0,0,
Fukuoka,Japan,Guam,USA,40053,57026,59701,39370,32898,
Fukuoka,Japan,Saipan,USA,14398,9127,817,662,0,
Fort Wayne,USA,Nassau,The Bahamas,344,0,106,121,169,
Grand Cayman,Cayman Islands,Baltimore,USA,3968,3151,45,0,0,
Grand Cayman,Cayman Islands,Detroit,USA,10124,3055,10704,1589,2059,
Grand Cayman,Cayman Islands,Memphis,USA,7516,16249,0,0,0,
Grand Cayman,Cayman Islands,Miami,USA,106761,190545,187914,107848,157133,
Grand Cayman,Cayman Islands,Chicago,USA,4922,2430,2259,2034,2854,
Grand Cayman,Cayman Islands,St. Louis,USA,110,29,0,0,0,
Guadalajara,Mexico,Cincinnati,USA,85,0,0,0,0,
Guadalajara,Mexico,Dallas/Fort Worth,USA,48600,54045,89401,79695,59622,
Guadalajara,Mexico,Newark,USA,14,227,0,0,0,
Guadalajara,Mexico,Houston,USA,38483,43830,83930,87213,104577,
Guadalajara,Mexico,Los Angeles,USA,252408,236428,366449,390186,359567,
Guadalajara,Mexico,New Orleans,USA,91,0,0,0,0,
Guadalajara,Mexico,Chicago,USA,41410,41372,78444,104466,43101,
Guadalajara,Mexico,Phoenix,USA,888,0,6565,44891,82900,
Guadalajara,Mexico,San Antonio,USA,10695,258,0,52,0,
Guadalajara,Mexico,San Francisco,USA,76546,71712,77511,26086,22784,
